model_3   -C  -E  -n0   -o2   -S1   		Command exited with non-zero status 124 59.64	
model_3   -C  -E  -n0   -o2   -S2   		28.16	
model_3   -C  -E  -n0   -o3   -S0   		4.25	
model_3   -C  -E  -n0   -o3   -S1   		5.13	
model_3   -C  -E  -n0   -o3   -S2   		1.31	
model_3   -C  -E  -n0   -o4   -S0   		Command exited with non-zero status 124 59.32	
model_3   -C  -E  -n0   -o4   -S1   		Command exited with non-zero status 124 59.18	
model_3   -C  -E  -n0   -o4   -S2   		Command exited with non-zero status 124 59.65	
model_3   -C  -E  -n1   -o2   -S0   		Command exited with non-zero status 124 58.69	
model_3   -C  -E  -n1   -o2   -S1   		Command exited with non-zero status 124 58.76	
model_3   -C  -E  -n1   -o2   -S2   		Command exited with non-zero status 124 59.54	
model_3   -C  -E  -n1   -o3   -S0   		4.18	
model_3   -C  -E  -n1   -o3   -S1   		3.61	
model_3   -C  -E  -n1   -o3   -S2   		3.30	
model_3   -C  -E  -n1   -o4   -S0   		Command exited with non-zero status 124 59.04	
model_3   -C  -E  -n1   -o4   -S1   		Command exited with non-zero status 124 59.28	
model_3   -C  -E  -n1   -o4   -S2   		23.86	
model_3   -C  -E  -n2   -o2   -S0   		Command exited with non-zero status 124 59.52	
model_3   -C  -E  -n2   -o2   -S1   		Command exited with non-zero status 124 56.66	
model_3   -C  -E  -n2   -o2   -S2   		Command exited with non-zero status 124 59.15	
model_3   -C  -E  -n2   -o3   -S0   		6.22	
model_3   -C  -E  -n2   -o3   -S1   		2.90	
model_3   -C  -E  -n2   -o3   -S2   		4.43	
model_3   -C  -E  -n2   -o4   -S0   		Command exited with non-zero status 124 57.93	
model_3   -C  -E  -n2   -o4   -S1   		Command exited with non-zero status 124 58.94	
model_3   -C  -E  -n2   -o4   -S2   		Command exited with non-zero status 124 59.61	
model_3   -C  -E  -n3   -o2   -S0   		Command exited with non-zero status 124 59.24	
model_3   -C  -E  -n3   -o2   -S1   		Command exited with non-zero status 124 58.39	
model_3   -C  -E  -n3   -o2   -S2   		52.40	
